,x,y,z
0,0.24664621,-0.8599534,-0.67901367
1,-0.7914887,-0.4893944,0.24289107
2,-0.17013745,-0.5219272,0.46063223
3,-0.9012653,-0.51963836,-0.1530954
4,-0.10982504,0.7129399,-0.5698155
5,0.035586096,0.23103642,-0.95287395
6,-0.48846558,-1.0058197,0.64158255
7,-0.14961876,-0.9449044,0.16894227
8,0.4063057,-0.47072232,0.23117006
9,-0.27830678,-0.57162744,1.0028437
10,-0.3581167,-0.54766375,0.2877402
11,0.30824533,-0.42275494,-0.9101041
12,-0.4725442,-0.4370417,0.75501543
13,0.34389368,0.9680319,0.111537315
14,0.153193,0.67741793,0.16548899
15,0.056832075,-0.18114746,-1.0054522
16,-0.46411005,0.021426728,1.1999162
17,-0.6267694,-0.2240427,0.81987786
18,0.3335094,0.92865145,0.9401802
19,-0.9748702,-0.6801621,-0.0012305285
20,0.026868256,-0.20647249,-0.51373047
21,-0.44199267,0.046976555,0.6885474
22,-0.62054425,-0.0068787355,-0.31680423
23,0.43033886,0.65404904,-0.47490615
24,0.57054085,-0.33054218,0.5117646
25,0.33382428,0.08943671,-0.84327555
26,0.83825624,-0.44804984,-0.60270375
27,0.36293197,-0.81408393,0.6583443
28,0.9433484,-0.60514593,0.5809601
29,0.7930555,0.13800202,0.25512645
30,1.0010451,0.33275363,-0.22142552
31,-0.37697607,0.5648892,1.1737757
32,0.96771604,0.69968885,0.5360791
33,0.12183447,0.479738,0.56090313
34,-0.6893267,0.5304481,-0.47587729
35,-0.43650076,0.6162285,0.55508226
36,0.8730585,0.39403224,0.3517715
37,-1.0158131,-0.3307105,-0.4059941
38,0.006592733,0.19225971,0.16229424
39,-0.76189256,0.5561303,-0.3670691
40,0.88252366,-0.51387775,-0.10625568
41,0.14200315,1.090387,0.6710745
42,0.17515293,-1.0070587,0.46851808
43,0.9434327,0.60192156,0.67353934
44,0.5062102,-0.35127214,-0.3350204
45,1.0331014,0.028355997,0.18479073
46,0.74573797,0.37490982,0.6859172
47,-0.3110426,-1.0150452,0.37670034
48,-1.1601443,-0.08600496,0.28761157
49,-0.9323487,0.05560815,0.85598385
50,-1.1207957,0.07838658,0.2825878
51,0.040750872,-0.4426088,0.91896546
52,-0.57291937,-0.15257145,-0.87285906
53,0.48993552,-0.22761764,-0.6357642
54,-0.8589074,-0.62439275,0.30406666
55,0.5364898,0.40049344,-0.36916527
56,0.27930185,-0.20099984,-0.44967252
57,0.88865143,0.50914466,0.116434574
58,-1.0054146,-0.020960312,0.114679426
59,-0.8169953,-0.16537088,-0.07273816
60,0.28962526,0.33773413,-0.95574
61,-0.31346846,0.3146498,0.18884064
62,0.21443896,1.1005756,0.36968544
63,-0.2795752,0.35822055,0.076632224
64,0.11404198,1.103662,-0.103743404
65,0.49184293,0.32235712,1.12468
66,0.5876776,0.75870234,-0.36391357
67,0.89603186,-0.17751493,0.80817765
68,0.013130931,0.8161437,-0.268876
69,0.32959303,-0.1288862,-0.33597308
70,-0.42833865,0.43129614,0.8119363
71,-0.013949239,-1.1061031,0.3048222
72,-0.14617375,0.96926045,-0.19171247
73,0.6928673,0.14601062,-0.008444977
74,-0.31282356,-0.5357198,1.1024978
75,0.13463572,1.1732564,0.23874462
76,0.3234966,0.48937172,0.06735266
77,0.3188952,0.21078578,1.183895
78,0.97565943,-0.11085812,0.4813315
79,-0.55654705,-0.7796971,0.090246014
80,-0.36661944,0.20914029,-0.8746634
81,0.09024092,-0.47618097,0.96548754
82,0.28353798,-0.2043924,1.2628212
83,-0.87395775,0.23532678,-0.11677286
84,-0.0782671,-0.21295124,-0.3854823
85,-0.63162977,-0.12363966,-0.74610144
86,0.4292517,0.2953206,-0.17359321
87,-0.966106,0.428933,0.23176925
88,0.68079597,0.050408754,1.0614537
89,0.12976709,0.15234493,1.122634
90,0.63784313,0.3007739,0.6911994
91,-0.3735311,0.22479422,-0.08838989
92,-0.15631269,1.0103967,-0.19836134
93,0.034973722,0.70913255,-0.077643044
94,-0.018454766,-0.42812097,0.5145021
95,0.35218686,-0.79529977,-0.2048318
96,0.991971,-0.0650959,0.59989434
97,-0.7341657,-0.33932534,0.18954317
98,-0.7266267,-0.32381976,0.14230746
99,0.29563692,-0.3277159,0.08733679
100,0.53337395,0.9880171,0.2101936
101,0.08028372,-0.98206997,0.049530916
102,0.08154316,-0.64382374,-0.39589193
103,0.9763182,0.23398113,0.6287558
104,0.09276635,0.2171028,0.7945987
105,-0.17085114,-0.9310492,-0.35956022
